0
""
"Bijelic v. Montenegro and Serbia, no. 11890/05, 28 April 2009"
"Armoniene v. Lithuania, no. 36919/02, 25 November 2008"
"Djavit An v. Turkey, no. 20652/92, § 56, ECHR 2003-III"
"Holzinger v. Austria (no. 1), no. 23459/94, ECHR 2001-I"
"C.G. and Others v. Bulgaria (dec.), no 1365/07, 13 March 2007"
"Eur. Court H.R. Wemhoff judgment of 27 June 1968, Series A no. 7, p. 26, para. 91"
"Savgÿn v. Turkey, no 13304/03, 2 February 2010"
"Petrea v. Romania, no 4792/03, § 37, 29 April 2008"
"Cyprus v. Turkey [GC], no. 25781/94, §§ 352 and 353, ECHR 2001-IV"
"Waite and Kennedy v. Germany [GC], no. 26083/94, § 50, ECHR 1999-I"
"Turzynski v. Poland (dec.), no. 61254/09, § 40, 17 April 2012"
"Megyeri v. Germany, 12 May 1992, § 22, Series A no 237-A"
"Amato Gauci v. Malta, no. 47045/06, § 62, 15 September 2009"
"Benyaminson v. Ukraine, no. 31585/02, § 84, 26 July 2007"
"Garcia Ruiz v. Spain [GC], no 30544/96, ECHR-1999-I, § 26"
"Nankov v. “the former Yugoslav Republic of Macedonia”, no. 26541/02, 29 November 2007"
"Dedovskiy and Others v. Russia, no. 7178/03, § 107, ECHR 2008 (extracts)"
"Nevmerzgitskiy v. Ukraine (dec.), no. 58825/00, 25 November"
"Koudelka v. the Czech Republic, no 1633/05, § 49, 20 July 2006"
"Süßmann v. Germany, 16 September 1996, §§ 45-46, Reports of Judgments and Decisions 1996-IV"
"Feldek v. Slovakia, no. 29032/95, § 74, ECHR 2001-VIII"
"AGVPS-Bacau v. Romania, no. 19750/03, § 68, 9 November 2010"
"Makaratzis v. Greece [GC], no. 50385/99, §§ 57-59, ECHR 2004-XI"
"Charzynski v. Poland, application no 15212/03, § 31"
"Beyazgül v. Turkey, no. 27849/03, §§ 34-36 and 44, 22 September 2009"
"Sartory v. France, no. 40589/07, § 26, 24 September 2009"
"Gorraiz Lizarraga and Others v. Spain, no 62543/00, § 56, ECHR 2004-III"
"Kaya v. Turkey, 19 February 1998, Reports 1998-I"
"K. et T. v. Finland [GC], no 25702/94, ECHR 2001-VII"
"Eriksen v. Norway, 27 May 1997, §§ 76-87, Reports of Judgments and Decisions 1997-III"
"Perna v. Italy [GC], no 48898/99, §§ 23-24, ECHR 2003-V"
"McCann and Others v. the United Kingdom, 27 September 1995, § 161, Series A no 324"
"Pellegrini c. Italie, no 30882/96, CEDH 2001-VIII"
"Doorson v. the Netherlands, 26 March 1996, § 67, Reports 1996-II"
"Muñoz Díaz v. Spain, no. 49151/07, 8 December 2009"
"Mandic and Jovic v. Slovenia, nos. 5774/10 and 5985/10, 27 September 2011"
"Ciorap v. Moldova, no. 12066/02, § 64, 19 June 2007"
"Holub v. the Czech Republic (dec.), no 24880/05, 14 December 2010"
"Nelyubin v. Russia, no. 14502/04, § 27, 2 November 2006"
"Kopecký v. Slovakia [GC], no 44912/98, § 35 b), ECHR 2004-IX"
"Van Geyseghem v. Belgium [GC], no 26103/95, § 27, 21 January 1999, Reports of Judgments and Decisions 1999-I"
"Vokurka v. the Czech Republic (dec.), no. 40552/02, 16 October 2007"
"Jamil v. France, 8 June 1995, § 32, Series A no. 317-B"
"Jovanovic v. Serbia, no. 32299/08, § 53, 2 October 2012"
"Siafaka c. Greece, no 32025/06, 31 July 2008"
"Norbert Sikorski v. Poland (no. 17599/05, §§ 126-31, 22 October 2009"
"Çakici v. Turkey [GC], no 23657/94, ECHR 1999-IV"
"Ciorap v. Moldova (no. 2), no. 7481/06, §§ 24-25, 20 July 2010"
"Sidabras and Džiautas v. Lithuania, nos. 55480/00 and 59330/00, § 47, ECHR 2004-VIII"
"De Haes and Gijsels v. Belgium, 24 February 1997, § 47, Reports of Judgments and Decisions 1997-I"
"Kutzner v. Germany, no. 46544/99, §§ 56 and 57, ECHR 2002-I"
"Petrenco v. Moldova, no. 20928/05, § 41, 30 March 2010"
"Van der Ven v. the Netherlands, no. 50901/99, § 69, ECHR 2003-II"
"Sejdovic v. Italy [GC], no 56581/00, § 126, ECHR 2006-II"
"Maksimovic v. Slovenia, no. 28662/05, 22 June 2010"
"Assanidze v. Georgia [GC], no. 71503/01, §§ 198 and 202-203, ECHR 2004-II"
"N. v. the United Kingdom [GC] no 26565/05, 27 May 2008"
"Guerra and Others v. Italy, 19 February 1998, Reports of Judgments and Decisions 1998-I"
"No. 11464/85, Dec. 12.5.87, von Sydow v. Sweden"
"Melnik v. Ukraine, no 72286/01, 28 March 2006"
"Asch v. Austria, 26 April 1991, § 28, Series A no. 203"
"Lindon, Otchakovsky-Laurens and July v. France [GC], no 21279/02 and 36448/02, 22 October 2007, § 41"
"Gülizar Çevik v. Turkey, no. 34450/08, § 35, 31 May 2012"
"McKerr v. the United Kingdom, no. 28883/95, § 129, ECHR 2001-III"
"Tahsin Acar judgment (see Tahsin Acar v. Turkey (preliminary issue) [GC], no. 26307/95, §§ 74-77, ECHR 2003-VI"
"A.K. v. Croatia, no 37956/11, § 60 and § 62, 8 January 2013"
"Skrzynski v. Poland, no. 38672/02, 6 September 2007"
"Mubilanzila Mayeka and Kaniki Mitunga v. Belgium, no 13178/03, § 70, ECHR 2006-XI"
"Case ""relating to certain aspects of the laws on the use of languages in education in Belgium"" v. Belgium (Merits), judgment of 23 July 1968, Series A no. 6, § 9"
"O. v. Norway, no. 29327/95, §§ 33-40, ECHR 2003-II"
"Tekin v. Turkey, 9 June 1998, Reports of Judgments and Decisions 1998-IV"
"Öneryildiz v. Turkey [GC], no. 48939/99, § 94, ECHR 2004-XII"
"Destrehem v. France, no. 56651/00, 18 May 2004"
"Amuur v. France, 25 June 1996, § 50, Reports 1996 III"
"Lawless v. Ireland (no. 3), 1 July 1961, pp. 51-53, Series A no. 3"
"Powell and Rayner judgment of 21 February 1990, Series A no. 172, pp. 14-15, 20, paras. 31-33, 46"
"Covezzi and Morselli v. Italy, no 52763/99, § 104, 9 May 2003"
"Rekvényi v. Hungary [GC], no 25390/94, ECHR 1999-III"
"Sanchez-Reisse v. Switzerland, 21 October 1986, Series A no. 107"
"Coban (Asin Babuscum) v. Spain (dec.), no 17060/02, 25 September 2006"
"Burghartz v. Switzerland, cited above, § 27"
"Times Newspapers Ltd v. United Kingdom (nos. 1 and 2), nos. 3002/03 and 23676/03, §§ 40-43 , 10 March 2009"
"Eur. Court H.R. The Sunday Times judgment of 26 April 1979, Series A no. 30, p. 29 para. 45"
"Lamy v. Belgium, 30 March 1989, § 29, Series A no. 151"
"Z.A.N.TE. - Marathonisi A.E., précité, § 52"
"Ignaccolo-Zenide v. Romania, no. 31679/96, § 95, ECHR 2000-I"
"Novotka v. Slovakia (dec.), no. 74459/01, 8 November 2005"
"Nasrulloyev v. Russia, no. 656/06, §§ 70-71, 11 October 2007"
"Demicoli v. Malta, 27 August 1991, § 39, Series A no 210"
"Nielsen v. Denmark, 28 November 1988, § 72, Series A no. 144"
"Slivenko v. Latvia (dec.) [GC], no. 48321/99, § 121, ECHR 2002-II (extracts)"
"Fahriye Çaliskan v. Turkey, no. 40516/98, § 45, 2 October 2007"
"Kokkinakis v. Greece, 25 May 993, Series A no 260-A"
"Hutchison Reid v. the United Kingdom, no 50272/99, § 79, ECHR 2003-IV"
"Atanasov and Ovcharov v. Bulgaria, no. 61596/00, §§ 57-60, 17 January 2008"
"Jecius v. Lithuania, no. 34578/97, ECHR 2000-IX"
"Labzov v. Russia, no. 62208/00, 16 June 2005"
"Christian Democratic People’s Party v. Moldova, no. 28793/02, ECHR 2006-II"
"Parlak, Aktürk and Yay v. Turkey (dec.), nos. 24942/94, 24943/94 and 25125/94, 9 January 2001"
"McMichael v. the United Kingdom, 24 February 1995, § 87, Series A no 307-B"
"Pipi v. Turkey (dec.), no. 4020/03, 15 May 2009"
"Agis Antoniades v. the United Kingdom, no. 15434/89, Commission decision of 15 February 1990, Decisions and Reports (DR) 64"
"Rehbock v. Slovenia (no 29462/95, § 84, ECHR 2000-XII"
"Broniowski v. Poland [GC], no 31443/96, § 182, ECHR 2004-V"
"Glass v. the United Kingdom, no. 61827/00, §§ 82-83, ECHR 2004-II"
"Bou Gibert and El Hogar y La Moda S.A. v. Spain (dec.), no. 14929/02, 13 May 2003"
"Burdov v. Russia (no. 2), no. 33509/04, §§ 125, 127, 128 and 146, ECHR 2009"
"Air Canada v. the United Kingdom, 5 May 1995, Series A no. 316-A"
"Immobiliare Saffi v. Italy [GC], no. 22774/93, § 44, ECHR 1999-V"
"Huylu v. Turkey, no. 52955/99, § 58, 16 November 2006"
"Delcourt v. Belgium, 17 January 1970, § 25, Series A no. 11"
"Eur. Court H.R. Eckle judgment of 15 July 1982, Series A no. 51, p. 30 para. 66"
"Ben Salah Adraqui and Dhaime v. Spain (dec.), no. 45023/98, 27 April 2000"
"Baumann v. France, no. 33592/96, § 40, 22 May 2001"
"Verein gegen Tierfabriken Schweiz (VgT) v. Switzerland (no 2) [GC], no 32772/02, § 82, 30 June 2009"
"Scozzari and Giunta v. Italy [GC], nos. 39221/98 and 41963/98, ECHR 2000-VIII, § 138"
"R.H. v. Austria, no. 7336/03, 19 January 2006"
"Lamanna v. Austria, no 28923/95, du 10 July 2001"
"E. v. Norway, 29 August 1990, § 64, Series A no 181-A"
"Osman v. the United Kingdom, 28 October 1998, § 147, Reports of Judgments and Decisions 1998-VIII"
"Poitrimol v. France, 23 November 1993, Series A no. 277-A"
"Leyla Sahin v. Turkey [GC], no. 44774/98, § 78, ECHR 2005-XI"
"Stanimirovic v. Serbia, no. 26088/06, 18 October 2011"
"Kennedy v. the United Kingdom, no. 26839/05, §§ 166 and 168, 18 May 2010"
"Guerra and Others v. Italy, judgment of 19 February 1998, Reports of Judgments and Decisions 1998-I"
"Fedotov v. Russia, no. 5140/02, § 68, 25 October 2005"
"A, B and C v. Ireland [GC], no. 25579/05, § 142, 16 December 2010"
"Jabari v. Turkey, no. 40035/98, § 50, ECHR 2000-VIII"
"Shuvaev v. Greece, no 8249/07, § 37, 29 October 2009"
"Petrina v. Romania, no. 78060/01, § 36, 14 October 2008"
"Michta v. Poland, no. 13425/02, § 49, 4 May 2006)."
"Cardot v. France, judgment of 19 March 1991, Series A no 200, p. 19, § 36"
"Kudla v. Poland [GC], no. 30210/96, §§ 91-94, ECHR 2000-XI"
"Debono v. Malta, (dec.) no. 34539/02, 3 May 2005"
"Isayeva and Others v. Russia, nos. 57947/00, 57948/00 and 57949/00, §§ 208-13, 24 February 2005"
"Ataman v. Turkey, no 46252/99, § 56, 27 April 2006"
"Abdullah Yilmaz v. Turkey (no 21899/02, §§ 55-58, 17 June 2008"
"Kudla v. Poland [GC], no. 30210/96, § 110 et seq, ECHR 2000-XI"
"K. and T. v. Finland [GC], no. 25702/94, § 145, ECHR 2001-VII"
"M.M. v. the Netherlands (dec.), no. 39339/98, 21 May 2002"
"Athanassoglou and Others v. Switzerland [GC], no 27644/95, ECHR 2000-IV"
"Kalogeropoulou and Others v. Greece and Germany, (dec.), no 59021/00, ECHR 2002-X"
"Mathieu-Mohin and Clerfayt v. Belgium, judgment of 2 March 1987, § 54, Series A no. 113"
"T. v. Austria, no. 27783/95, §§ 71-72, ECHR 2000-XII"
"T.P. and K.M. v. the United Kingdom [GC], no. 28945/95, ECHR 2001-V (extracts)"
"Isik v. Turkey, no 21924/05, § 41, ECHR 2010-..."
"Beshiri and Others v. Albania, no. 7352/03, § 32, 22 August 2006"
"Petrina v. Romania, no 78060/01, § 27, 14 October 2008"
"Sahin v. Germany [GC], no. 30943/96, § 85, ECHR 2003-VIII"
"Çiloglu and Others v. Turkey, no. 73333/01, § 28, 6 March 2007"
"Açik and Others v. Turkey, no. 31451/03, § 40, 13 January 2009"
"Ülke v. Turkey, no. 39437/98, § 61, 24 January 2006"
"Beganovic v. Croatia, no. 46423/06, § 69, ECHR 2009-... (extracts)"
"Bubbins v. the United Kingdom, no. 50196/99, ECHR 2005-II"
"Lavents v. Latvia, no. 58442/00, § 139, 28 November 2002"
"Beyeler v. Italy [GC], no. 33202/96, § 98, ECHR 2000-I"
"Kerechashvili v. Georgia (dec.), no. 5667/02, 2 May 2006"
"Lavents v. Latvia, no. 58442/00, 28 November 2002"
"Smirnova v. Russia, no.s 46133/99 and 48183/99, ECHR 2003-IX"
"Association Ekin v. France, no 39288/98, § 58, ECHR 2001-VIII"
"Dolinskiy v. Estonia (dec.), no. 14160/08, 2 February 2010"
"Engel and Others v. the Netherlands, 8 June 1976, § 82, Series A no. 22Belilos v. Switzerland, 29 April 1988, § 64, Series A no. 132"
"No. 9088/80, Dec. 6.3.82, D.R. 28 p. 160"
"Bakbak v. Turkey, no. 39812/98, § 41, 1 July 2004"
"15 Foreign Students v. the United Kingdom, nos. 7671/76 and fourteen others, Commission decision of 19 May 1977, Decisions and Reports 9, p. 185"
"Lenskaya v. Russia (no. 13151/04, 31 July 2008"
"McKerr v. the United Kingdom, no. 28883/95, §§ 121 and 156, ECHR 2001-III"
"Morsink c. Pays-Bas, no 48865/99, §§ 66-68, 11 mai 2004"
"Quintana Zapata v. Spain, Commission decision of 4 March 1998, Decisions and Reports (DR) 92, p. 139"
"Jasper v. the United Kingdom [GC], no. 27052/95, § 51, 16 February 2000"
"Sorguç v. Turkey, no. 17089/03, § 37, ECHR 2009-... (extracts)"
"Perez v. France [GC], no. 47287/99, § 82, ECHR 2004-I"
"Fayed v. the United Kingdom, 21 September 1994, § 65, Series A no 294-B"
"Bassani v. Italy, no. 47778/99, 11 December 2003"
"Nos. 5577-5583/72, Dec. 15.12.75, D.R. 4, p. 4 at p. 64"
"Ryabykh v. Russia, no. 52854/99, §§ 66-68, ECHR 2003-IX"
"Jamil v. France, 8 June 1995, §§ 30-31, Series A no 317-B"
"Allan Jacobsson v. Sweden (no. 1), 25 October 1989, § 55, Series A no. 163"
"Kalashnikov v. Russia, no. 47095/99, §§ 97 et seq., ECHR 2002-VI"
"Halford v. the United Kingdom, 25 June 1997, § 45, Reports of Judgments and Decisions 1997-III"
"IS.P. v. Belgium, dec., no 12572/08, 14 June 2011"
"Moisa v. Romania (dec.), no 30608/02, 16 November 2010"
"Calvelli and Ciglio v. Italy [GC], no. 32967/96, § 62, ECHR 2002-I"
"Vo v. France [GC], no. 53924/00, § 90, ECHR 2004-VII"
"Annen II v. Germany (dec.), nos. 2373/07 and 2396/07, 30 March 2010"
"Gäfgen v. Germany [GC], no. 22978/05, § 93, ECHR 2010-..."
"Musa and Others v. Bulgaria, no. 61259/00, 11 January 2007"
"Eur. Court H.R. Moreira de Azvedo judgment of 23 October 1990, Series A no. 189, p. 16 et seq., para. 66"
"Eriksson v. Sweden, 22 June 1989, §§ 73-82, Series A no. 156"
"Bramelind and Malmström v. Sweden, no. 8588/79, Commission decision of 12 October 1982, DR 29"
"Chauvy and Others v. France, no. 64915/01, § 69, ECHR 2004-VI"
"Clift v. the United Kingdom, no. 7205/07, § 66, 13 July 2010"
"Andronicou and Constantinou c. Cyprus, judgment of 9 October 1997, § 171, Reports of Judgments and Decisions 1997-VI"
"Hermi v. Italy [GC], no. 18114/02, §§ 60-61, ECHR 2006-XII"
"Tasçi and Duman v. Turkey (dec.), no. 40787/10, 9 October 2012"
"Ferrantelli and Santangelo v. Italy, 7 August 1996, Reports 1996-III,"
"Filip v. Romania, no. 41124/02, § 80, 14 December 2006"
"Rekvényi v. Hungary [GC], no. 25390/94, § 43, ECHR 1999-III"
"Poilly v. France (dec.), no. 68155/01, 15 October 2002"
"Dammann v. Switzerland (no. 77551/01, § 52, 25 April 2006"
"Gorodnitchev v. Russia, no. 52058/99, 24 May 2007"
"Mild and Virtanen v. Finland, nos. 39481/98 and 40227/98, §§ 45-47, 26 July 2005"
"K. and T. v. Finland [GC], no. 25702/94, § 150, ECHR 2001 VII"
"Ramsahai and Others v. the Netherlands [GC], no. 52391/99, § 330, ECHR 2007-VI"
"Icyer v. Turkey (dec.), no. 18888/02 , §§ 73-87, 12 January 2006"
"Credit Bank and Others v. Bulgaria (dec.), no. 40064/98, 30 April 2002"
"Visloguzov v. Ukraine, no. 32362/02, § 45, 20 May 2010"
"X v. United Kingdom, no. 5947/72, Commission decision of 5 March 1976, Decisions and Reports (DR) 5, p. 8)"
"Elsholz v. Germany [GC], no. 25735/94, § 50, ECHR 2000-VIII"
"Pélissier and Sassi c. France [GC], no 25444/94, § 67, ECHR 1999-II"
"D.H. and Others v. the Czech Republic [GC], no. 57325/00, § 179, ECHR 2007-XII"
"Sawicka v. Poland, no. 37645/97, § 54, 1er October 2002"
"Egmez v. Cyprus (no 2) (dec.), no 12214/07, §§ 48-51, 18 September 2012"
"Thlimmenos v. Greece [GC], no. 34369/97, § 40, ECHR 2000 IV"
"Liedermann v. Austria (dec.), no. 54272/00, 18 March 2004"
"O.B. Heller, a.s. and Ceskoslovenská obchodní banka v. the Czech Republic (dec.), nos. 55631/00 and 55728/00, 9 November 2004"
"Vasil Sashov Petrov v. Bulgaria, no. 63106/00, 10 June 2010"
"Bukta and Others v. Hungary, no. 25691/04, § 37, ECHR 2007-III"
"Zervudacki v. France, no. 73947/01, § 43, 27 July 2006"
"De Clerck v. Belgium, no 34316/02, § 98, 25 September 2007"
"X, Y and Z v. the United Kingdom, 22 April 1997, § 36, Reports of Judgments and Decisions 1997-II"
"Petridis c. Greece, no 53351/07, § 33, 22 July 2010"
"Arat v. Turkey, no. 10309/03, §§ 46-47, 10 November 2009"
"Butusov v. Russia, no. 7923/04, § 35, 22 December 2009"
"Phillips v. the United Kingdom, no. 41087/98, § 39, ECHR 2001-VII"
"Tonchev v. Bulgaria, no. 18527/02, § 31, 19 November 2009"
Williams v. the United Kingdom (dec.)
"Maiorano and Others v. Italy, no. 28634/06, § 107, 15 December 2009"
"Katsyuk v. Ukraine, no 58928/00, 5 April 2005"
"Kazakov v. Russia, no. 1758/02, 18 December 2008"
"Tanase v. Moldova [GC], no. 7/08, § 122, ECHR 2010-..."
"Lombardo and Others v. Malta, no. 7333/06, § 61, 24 April 2007"
"Sejdovic v. Italy [GC], no. 56581/00, § 94, ECHR 2006-II"
"Assanidze v. Georgia [GC], no. 71503/01, § 170, ECHR 2004-II"
"Çiçek v. Turkey, no. 25704/9427 February 2001"
"Scordino v. Italy (no. 1) [GC], no. 36813/97, §§ 250-254, ECHR 2006-V"
"McKay v. the United Kingdom [GC], no. 543/03, § 30, ECHR 2006-X"
"Enea v. Italy [GC], no 74912/01, § 57, ECHR 2009-...,"
"Vogt v. Germany, 26 September 1995, Series A no. 323"
"Gaspari v. Slovenia, no. 21055/03, §§ 81-3, 21 July 2009"
"Malama v. Greece, no 43622/98, 1 March 2001"
"Mamedova v. Russia, no 7064/05, § 96, 1er June 2006"
"Sommerfeld v. Germany [GC], no. 31871/96, § 86, ECHR 2003-VIII"
"Tarnopolskaya and Others v. Russia, nos. 11093/07, 14558/07, 19660/07, 30166/07, 46736/07, 52681/07, 52985/07, 10633/08, 10652/08, 12694/08, 15437/08, 16691/08, 19447/07, 19457/08, 20857/08, 20872/08, 22546/08, 25820/08, 25839/08 and 25845/08, § 51, 7 July 2009"
"Ştefănescu v. Romania (dec.), no. 11774/04, 12 April 2011"
"Iglesias Gil and A.U.I. v. Spain, no. 56673/00, § 49, ECHR 2003-V)."
"Dondarini v. San Marino, no 50545/99, § 27, 6 July 2004"
"Sadak and Others v. Turkey, nos. 29900/96, 29901/96, 29902/96 and 29903/96, § 73, ECHR 2001-VIII"
"Gaftoniuc v. Romania, (dec.), no. 30934/05, 22 February 2011"
"Jalloh v. Germany (dec.), no. 54810/00, 26 October 2004"
"Stoll v. Switzerland [GC], no 69698/01, ECHR 2007-XIV"
"Campos Dâmaso v. Portugal, no 17107/05, § 35, 24 April 2008"
"Malenko v. Ukraine, no. 18660/03, §§ 59-61, 19 February 2009"
"Sommerfeld v. Germany [GC], no 31871/96, ECHR 2003-VIII (extracts)"
"Iliÿ v. Serbia, no. 30132/04, 9 October 2007"
"Burdov v. Russia (no. 2), no. 33509/04, § 99, ECHR 2009"
"Steel and Morris v. the United Kingdom, no. 68416/01, § 95, ECHR 2005-II"
"Kotsaftis v. Greece, no. 39780/06, 12 June 2008"
"Airey v. Ireland, 9 October 1979, Series A no 32"
"Stoica v. Romania, no 42722/02, § 128, 4 March 2008"
"No. 9203/80, dec. 5.5.81, D.R. 24 p. 239"
"Eur. Court H.R. Belgian Linguistic judgment of 9 February 1967, Series A no. 5, p. 34, para. 10"
"Khatuyeva v. Russia, no. 12463/05, 22 April 2010"
"Gaweda v. Poland, no. 26229/95, ECHR 2002 II"
"Alge v. Austria, no. 38185/97, § 29, 22 January 2004"
"Barbu Anghelescu v. Romania, no. 46430/99, § 52, 5 October 2004"
"X and Y v. Pays-Bas, 26 March 1985, Series A no 91"
"Cyprus v. Turkey [GC], no. 25781/94, ECHR 2001-IV"
"Appleby and Others v. the United Kingdom, no. 44306/98, § 56, ECHR 2003-VI"
"Savez crkava “Rijec života” and Others v. Croatia, no. 7798/08, § 58, 9 December 2010"
"E.G. v. Poland (dec.), no. 50425/99, § 28, ECHR 2008"
"Z. and Others v. the United Kingdom [GC], no 29392/95, § 108, ECHR 2001-V"
"Kosmopoulou v. Greece, no 60457/00, § 45, 5 February 2004"
"Khuzhin and Others v. Russia (no. 13470/02, §§ 53 et seq., 23 October 2008"
"Golder v. the United Kingdom, judgment of 21 February 1975, § 36, Series A no 18"
"Akkus v. Turkey, 9 July 1997, § 29, Reports of Judgments and Decisions 1997-IV"
"Gecekusu v. Turkey (dec.), no 28870/05, 25 May 2010"
"Klass and Others v. Germany (6 September 1978, § 42, Series A no 28"
"El-Masri v. the former Yugoslav Republic of Macedonia [GC], no. 39630/09, § 202, ECHR 2012"
"Wirtschafts-Trend Zeitschriften-Verlagsgesellschaft mbH v. Austria (no. 2) (dec.), no. 62746/00, ECHR 2002-X"
"Mansuroglu v. Turkey, no. 43443/98, §§ 70-73, 99 and 103, 26 February 2008"
"Dennis and Others v. the United Kingdom (dec.), no. 76573/01, 2 July 2002"
"Lamazhyk v. Russia, no. 20571/04, § 80, 30 July 2009"
"McCann and Others v. the United Kingdom, 27 September 1995, § 150, Series A no. 324"
"Naydenov v. Bulgaria, no. 17353/03, § 96, 26 November 2009"
"Agosi judgment of 24 October 1986, Series A no. 108, p. 18, para. 52"
"X. v. the Federal Republic of Germany, no. 6699/74, Commission decision of 15 December 1977, DR 11, p. 24"
"Coëme and Others v. Belgium, nos. 32492/96, 32547/96, 32548/96, 33209/96 and 33210/96, ECHR 2000-VII"
"Kucera v. Austria, no. 40072/98, § 25, 3 October 2002"
"Walsh v. United Kingdom (dec.), no. 43384/05, 21 November 2006"
"Ewing v. the United Kingdom, no. 11224/84, Commission’s report of 6 October 1987, Decisions and Reports (DR) 56, p. 71, at pp. 84-85, § 145"
"Somogyi v. Italy, no. 67972/01, § 86, ECHR 2004-IV"
"Orchowski v. Poland, no. 17885/04, §§ 82-83, 96, 97, 107-108, 111, 147, 151 and 154, 22 October 2009"
"Vanjak v. Croatia, no. 29889/04, §§ 30-33, 14 January 2010"
"Sigurður A. Sigurjónsson v. Iceland, 30 June 1993, § 37, Series A no. 264"
"Kamasinski v. Austria, 19 December 1989, § 79, Series A no 168"
"Jablonski v. Poland, no. 33492/96, §§ 91-94, 21 December 2000"
"Watkins v. the United Kingdom (dec.), no. 35757/06, 6 October 2009"
